missing_entries,num_rows
135,1
136,1
140,1
144,1
145,1
147,3
151,2
152,1
157,1
158,2
160,3
161,2
163,1
164,1
165,1
166,2
167,4
168,6
169,3
170,3
171,3
172,2
173,4
174,3
175,4
176,6
177,3
178,6
179,8
180,4
181,3
182,5
183,7
184,3
185,1
186,3
188,5
189,1
190,3
191,2
192,3
193,5
194,9
195,7
196,3
197,7
198,6
199,2
200,7
201,6
202,11
203,4
204,6
205,9
206,11
207,12
208,9
209,9
210,12
211,12
212,8
213,10
214,5
215,17
216,10
217,11
218,16
219,15
220,18
221,10
222,25
223,22
224,23
225,15
226,13
227,18
228,40
229,37
230,23
231,19
232,10
233,6
234,8
235,5
236,7
237,2
238,7
239,7
240,7
241,4
242,4
243,7
244,7
245,2
247,2
249,1
252,2
253,1
256,4
257,3
258,4
259,2
261,5
262,4
263,6
264,3
265,5
266,6
267,5
268,12
269,2
270,2
271,11
272,6
273,9
274,7
275,7
276,5
277,3
278,10
279,5
280,9
281,4
282,8
283,11
284,5
285,10
286,11
287,8
288,6
289,7
290,7
291,6
292,5
293,11
294,5
296,11
297,7
299,4
300,3
301,3
302,2
303,4
305,3
307,1
308,3
316,1
317,1
319,1
323,1
341,1
350,1
399,1
410,1
411,1
417,1
420,2
428,1
429,1
430,1
431,1
432,1
437,1
438,1
446,1
447,2
451,2
452,1
455,5
484,1
504,2
539,1
