feature,importance
MONEY_2,0.04230
Q1781_2,0.03045
LASTDAY_2,0.02939
PUT_2,0.02457
MEMORY_2,0.02385
YEAR_2,0.02351
Q75_2,0.02084
Q76_2,0.01943
SEASON_2,0.01857
LASTSEE_2,0.01839
Q401_2,0.01798
PAST_2,0.01719
Q72_2,0.01550
REASON_2,0.01392
MONTH_2,0.01352
FRDNAME_2,0.01292
RECALL_2,0.01263
STORY_2,0.01258
LEARN2_2,0.01235
MENTAL_2,0.01187
LEARN1_2,0.01146
Q391_2,0.01146
STREET_2,0.01138
WORDFIND_2,0.01131
Q73_2,0.01127
LONGMEM_2,0.01094
KEPT_2,0.01072
Q31_2,0.01062
LEARN3_2,0.01057
Q74_2,0.01042
ANIMALS_2,0.00988
ICINTCOM_2,0.00972
CONVERS_2,0.00947
WORDDEL_2,0.00913
MUDDLED_2,0.00845
NPI5,0.00827
Q381_2,0.00820
Q331_2,0.00818
STORE_2,0.00741
CARENEED_2,0.00734
IRERROR_2,0.00685
Q21_2,0.00667
NPI8,0.00667
Q1551_2,0.00628
NRECALL_2,0.00571
NPI11,0.00560
TRIALNO_2,0.00540
Q371_2,0.00529
NPI2,0.00525
NPI3,0.00517
ORIENT_2,0.00512
Q41_2,0.00511
NPI4,0.00503
Q731_2,0.00491
Q71_2,0.00475
Q1561_2,0.00468
Q781_2,0.00467
NPI7,0.00466
CHIEF_2,0.00451
Q221_2,0.00450
NPI10,0.00442
HASCONF_2,0.00440
CIRCLE_2,0.00438
Q32_2,0.00437
ACTIV_2,0.00434
NPI6,0.00425
Q361_2,0.00414
REPEAT_2,0.00414
Q721_2,0.00412
Q1141_2,0.00402
PAPER_2,0.00398
NPI1,0.00395
Q641_2,0.00391
Q711_2,0.00384
Q621_2,0.00381
WORDIMM_2,0.00376
PENTAG_2,0.00375
Q83_2,0.00368
Q722_2,0.00367
Q481_2,0.00364
Q82_2,0.00362
CHEMIST_2,0.00361
HOBBY_2,0.00359
Q451_2,0.00351
CHORES_2,0.00349
Q871_2,0.00349
LOSTOUT_2,0.00347
Q211_2,0.00344
Q1041_2,0.00334
WORDWRG_2,0.00334
Q171_2,0.00331
Q341_2,0.00325
Q1801_2,0.00323
Q1171_2,0.00320
Q11_2,0.00318
Q42_2,0.00316
Q541_2,0.00306
Q1631_2,0.00301
Q81_2,0.00299
Q1709_2,0.00299
TOWN_2,0.00291
NPI9,0.00287
Q1707_2,0.00278
NPI12,0.00274
Q501_2,0.00274
IRHOME_2,0.00273
Q631_2,0.00268
Q1181_2,0.00267
Q191_2,0.00260
Q1708_2,0.00251
Q511_2,0.00247
CHANGE_2,0.00244
Q901_2,0.00242
Q652_2,0.00241
Q512_2,0.00239
FAMNAME_2,0.00236
Q101_2,0.00232
Q1182_2,0.00231
Q1051_2,0.00229
FEED_2,0.00229
Q502_2,0.00227
Q1632_2,0.00227
Q1811_2,0.00225
Q291_2,0.00225
Q293_2,0.00221
Q532_2,0.00221
Q351_2,0.00217
Q294_2,0.00208
SHOULD_2,0.00208
Q1441_2,0.00206
Q1131_2,0.00205
TOILET_2,0.00204
Q651_2,0.00204
Q611_2,0.00203
Q1191_2,0.00199
Q1755_2,0.00193
Q491_2,0.00185
Q1061_2,0.00184
Q352_2,0.00175
Q1754_2,0.00171
Q1351_2,0.00170
Q281_2,0.00162
Q292_2,0.00157
DRESS_2,0.00155
Q931_2,0.00152
Q1042_2,0.00151
Q612_2,0.00147
Q1706_2,0.00147
PENCIL_2,0.00146
Q1381_2,0.00142
Q1052_2,0.00141
NAME_2,0.00128
Q643_2,0.00122
CHAIR_2,0.00120
Q531_2,0.00113
Q1802_2,0.00110
Q1792_2,0.00109
Q1361_2,0.00107
Q642_2,0.00107
Q1367_2,0.00105
Q1743_2,0.00105
LOSTIN_2,0.00104
Q1704_2,0.00102
Q644_2,0.00099
Q1044_2,0.00098
Q613_2,0.00097
Q1795_2,0.00094
Q1031_2,0.00092
Q452_2,0.00090
Q201_2,0.00088
Q1822_2,0.00086
Chin_2,0.00085
Q1043_2,0.00084
NOD_2,0.00080
Q1362_2,0.00075
Q1742_2,0.00071
Q1744_2,0.00070
Q1201_2,0.00070
Q1771_2,0.00068
WATCH_2,0.00068
ADDRESS_2,0.00068
Q102_2,0.00067
Q1641_2,0.00062
HAMMER_2,0.00061
ELBOW_2,0.00056
Q533_2,0.00055
SHOES_2,0.00054
Q1671_2,0.00054
Q1371_2,0.00052
Q301_2,0.00051
Q1365_2,0.00050
Q1633_2,0.00050
Q1752_2,0.00048
Q111_2,0.00048
Q1798_2,0.00048
Q1796_2,0.00046
Q1703_2,0.00044
Q1635_2,0.00044
Q1642_2,0.00043
Q1821_2,0.00043
Q17910_2,0.00043
Q1806_2,0.00042
Q18018_2,0.00041
Q1231_2,0.00040
Q1368_2,0.00040
Q1705_2,0.00039
Q17922_2,0.00037
POINT_2,0.00037
Q17911_2,0.00036
Q1741_2,0.00036
Q1803_2,0.00033
Q1745_2,0.00031
Q17920_2,0.00031
Q1241_2,0.00030
PRAY_2,0.00030
Q911_2,0.00030
Q18019_2,0.00029
Q1753_2,0.00029
Q1808_2,0.00028
Q18014_2,0.00027
Q1364_2,0.00026
Q18020_2,0.00025
Q1804_2,0.00025
Q18017_2,0.00024
Q18011_2,0.00024
Q1232_2,0.00023
Q1363_2,0.00023
Q18016_2,0.00023
Q18013_2,0.00023
Q1634_2,0.00022
Q17912_2,0.00022
Q1251_2,0.00022
Q1222_2,0.00021
Q1791_2,0.00020
Q1271_2,0.00019
Q18015_2,0.00019
Q1751_2,0.00017
Q1809_2,0.00014
Q1701_2,0.00013
Q1805_2,0.00011
Q1807_2,0.00011
Q1652_2,0.00011
Q1702_2,0.00008
Q1661_2,0.00008
Q1221_2,0.00007
Q1211_2,0.00006
Q18010_2,0.00006
Q1391_2,0.00005
Q1242_2,0.00005
Q1651_2,0.00004
Q18012_2,0.00000
Q1233_2,0.00000
