model_name,f2,encoding_strategy
One Class SVM,0.72093,
One Class SVM,0.33643,
One Class SVM,0.30922,
IsolationForest,0.30922,
One Class SVM,0.30374,
IsolationForest,0.30374,
IsolationForest,0.30374,
One Class SVM,0.29825,
One Class SVM,0.29825,
IsolationForest,0.29274,
IsolationForest,0.29274,
IsolationForest,0.28722,
EllipticEnvelope,0.25384,
LocalOutlierFactor,0.23132,
LocalOutlierFactor,0.23132,
LocalOutlierFactor,0.23132,
LocalOutlierFactor,0.22565,
EllipticEnvelope,0.21429,
EllipticEnvelope,0.20858,
EllipticEnvelope,0.20286,
EllipticEnvelope,0.18563,
EllipticEnvelope,0.13317,
LocalOutlierFactor,0.13317,
LocalOutlierFactor,0.13317,
